theta [deg],vacuum wavelength [um],absorption in whole stack [unitless],absorption in active material [unitless],absorption in active material [#photons/(m^2s)],Transmission Coeff [unitless],Reflection Coeff [unitless]
0,1.200,0.5348241073796951,0.37459741107352257,3003369197804607.5,0.3140763526139685,0.15054621681528174
0,1.180,0.4958686799541533,0.3476453845532949,2740824198762778.0,0.2918765892625865,0.21176664195836892
0,1.160,0.45334968196488457,0.31799733199897545,2464587095962532.5,0.26748650012277836,0.27874265614011906
0,1.140,0.41398651165066047,0.2903899146411382,2211816457467107.5,0.24485473375463257,0.3407992125987036
0,1.120,0.3821281075895237,0.26789972091030656,2004716609594798.5,0.22656521399728938,0.3909999802702715
0,1.100,0.36010185795835276,0.2521705147679748,1853316938145321.0,0.2140281051917074,0.4256067270634656
0,1.080,0.34583380177451184,0.24424379368323293,1762422372703667.5,0.20989739675134658,0.44406167668968927
0,1.060,0.3434165882900106,0.24469146353281865,1732955411562528.2,0.21267896135851755,0.44375413859495505
0,1.040,0.35316867448861816,0.2538697535864365,1764034219720273.5,0.22377957090546147,0.4229587903204034
0,1.020,0.3755607294552857,0.2721426159687941,1854639186341546.2,0.24378116472640207,0.38062858429140783
0,1.000,0.4088082712695078,0.2983156183618798,1993144090443840.2,0.2718329910112901,0.31940552004475126
0,0.980,0.48002506035202436,0.3640237914766137,2383518621290470.5,0.2975556222564539,0.22259171419789198
0,0.960,0.5478767184151259,0.43539950542945005,2792684465380916.5,0.2981822997455836,0.15428484886990185
0,0.940,0.5722141227531897,0.4747489230241637,2981635472632158.0,0.2651998812403643,0.1630942276086724
0,0.920,0.5633012844384296,0.48554568084452326,2984562152500095.5,0.21434446940197016,0.22297016336315614
0,0.900,0.5632655043326391,0.5016512114736489,3016526046449928.0,0.16909849068145508,0.2682798995885913
0,0.880,0.6045106492572354,0.5526679801333234,3249448666729628.5,0.1385706751323495,0.2574430895478355
0,0.860,0.6944884771939762,0.6464435247977617,3714426299786558.5,0.12247338402692669,0.18315559725317254
0,0.840,0.799847021820893,0.7517214080009437,4218896871057275.0,0.11991013619836578,0.07971684518340996
0,0.820,0.850521673826657,0.8013904287878323,4390568006325618.5,0.1281943532025151,0.020331681962781227
0,0.800,0.8296159556818915,0.7802214842673459,4170331675275099.5,0.14312702479247932,0.02635896329114758
0,0.780,0.800569551545998,0.7494800233053305,3905866264383100.0,0.1673233728977372,0.031543792666297296
0,0.760,0.7888492849991118,0.7356792856108711,3735638347593522.0,0.19480368762045258,0.016190905809086328
0,0.740,0.7529862183871745,0.7013210313558929,3467458622689071.5,0.20317996155595688,0.0440307867061581
0,0.720,0.7070356957541346,0.6593797998373387,3171982915969500.5,0.1928751797834154,0.10048796459171065
0,0.700,0.6947683812326464,0.6479247474639082,3030297816741865.0,0.19429006863819112,0.11148282825590067
0,0.680,0.6959182133136016,0.6460403970112399,2935156705713170.0,0.22036109448427907,0.08457008153132115
0,0.660,0.7115278405672484,0.6556055673028158,2891007865235928.5,0.2687500162027889,0.02106374503446071
0,0.640,0.6441187591835263,0.5878669965290559,2513748114768813.5,0.2893904357990499,0.06821739233220066
0,0.620,0.48798268385969384,0.4423188447522882,1832271544271338.8,0.23526524551406267,0.2784139257884426
0,0.600,0.47939742966357723,0.43476234000782665,1742873524676707.2,0.21114935832822426,0.3112385327514942
0,0.580,0.6439776016931733,0.5828554002315796,2258663444112567.5,0.247482494628782,0.11083736483914162
0,0.560,0.7024551696697457,0.6297761253954329,2356334404934253.5,0.22315821164335184,0.07635763218585911
0,0.540,0.6942818441949197,0.628194399568469,2266472870222659.0,0.12264843641521922,0.1829026039571939
0,0.520,0.8666983047047806,0.7910566356053955,2748360045320621.5,0.060993688526762666,0.06795202442458935
0,0.500,0.8448082937522431,0.7501407413464024,2505967662413879.0,0.08786276842787209,0.06414339113476121
0,0.480,0.6106509850900635,0.516843686095063,1657536716496994.5,0.18754048223113248,0.2020012499290248
0,0.460,0.5565482740916068,0.41874259160113536,1286967776501279.0,0.36076829100340274,0.0838393766579116
0,0.440,0.45557171726083795,0.32052024440598975,942260198061090.9,0.2861012664741173,0.2585948574334947
0,0.420,0.4421621235852981,0.2965932458463507,832287269964458.5,0.26226741151318284,0.2954134063658369
0,0.400,0.6347629837787524,0.4259155642513797,1138272403674011.2,0.29531684657875845,0.06926549158988131
0,0.380,0.6095784508488037,0.3560540592061094,903987120068383.9,0.2945756288501185,0.09628006546377661
0,0.360,0.6326494318715373,0.304315302683671,731962778825507.2,0.32278679144070327,0.04627987928296556
0,0.340,0.6142537204992145,0.2529379983119428,574586872051321.2,0.3064540739303696,0.08119291968174526
0,0.320,0.6894489282756706,0.2415848363680746,516514305584905.5,0.27132451358532556,0.04146556649497035
0,0.300,0.7347402180771392,0.1626540013303442,326023354042444.06,0.1342352255513643,0.13390304038364007
1,1.200,0.5349687208785315,0.3746905287007952,3003658235562399.5,0.31415578177400166,0.15032791471835308
1,1.180,0.4960496139815615,0.34776489792577087,2741348853752975.0,0.2919780432109972,0.21148941760258166
1,1.160,0.453535999286978,0.3181215370131872,2465174211751620.5,0.2675919553371781,0.2784554838020277
1,1.140,0.414154934559549,0.2905023357997658,2212335736322461.5,0.24495047956750188,0.340539157506677
