theta [deg],vacuum wavelength [um],absorption in whole stack [unitless],absorption in active material [unitless],absorption in active material [#photons/(m^2s)],Transmission Coeff [unitless],Reflection Coeff [unitless]
0,1.200,0.31036173061127653,0.2373337600671582,1902845250697555.0,0.12910740769024895,0.5608080321625002
0,1.180,0.29753948032687927,0.225510085715009,1777913723166404.2,0.12521829046877217,0.577515865880754
0,1.160,0.29326180958988407,0.22020413791047566,1706656698533121.0,0.12485415532856042,0.5821591159033092
0,1.140,0.2982445571113547,0.22178849684494542,1689299189349488.5,0.1284394788640445,0.5735983109800016
0,1.120,0.3136469732658058,0.23093555708050853,1728110598444122.0,0.13660550572451102,0.5500436940792086
0,1.100,0.3410125969893562,0.24856402933253818,1826811220175799.2,0.15017132074180012,0.5091329794646828
0,1.080,0.3790588262927526,0.2755647655378512,1988429268105041.2,0.17150131432649107,0.4498015938203613
0,1.060,0.42822876210552385,0.3108521058856264,2201518726123657.2,0.19876826632272854,0.37342412712785983
0,1.040,0.480505490900618,0.34863968557322633,2422550646602691.5,0.22929811106806247,0.2906771877170445
0,1.020,0.5186764510177623,0.3764386279611973,2565411625019211.0,0.2546422918750967,0.22720034268188494
0,1.000,0.5242406926826286,0.38089180331246625,2544862555435516.0,0.264601033319455,0.21167282508753443
0,0.980,0.5215290553200451,0.394674208809199,2584208362381842.5,0.24556376712042197,0.23336346799258842
0,0.960,0.5160593617290841,0.4115830056021789,2639923683023656.0,0.21038454869316275,0.27389427357296436
0,0.940,0.537393657266263,0.4509154200140272,2831950418984355.5,0.17991712524159317,0.2828490827260091
0,0.920,0.6035631008837704,0.5299845854251293,3257720122887457.5,0.15465030529238216,0.24165372279376224
0,0.900,0.703659856218148,0.6410375284163825,3854683008816930.5,0.12661830900572998,0.16908971044324644
0,0.880,0.7987310937991062,0.7465011750184067,4389104010133701.5,0.09297159280335468,0.10693172319634793
0,0.860,0.8737872157090723,0.8282569737489853,4759115635410428.0,0.06490611668117435,0.0590879684974011
0,0.840,0.9334318774345824,0.8899411660917386,4994629607575026.0,0.05152922938097577,0.012162252124076548
0,0.820,0.9381799243192418,0.8954486806623781,4905883808182582.0,0.051162660014544566,0.007792713224889704
0,0.800,0.8739409396652237,0.8328953239557774,4451876578280818.5,0.059466147794201826,0.06437807553167715
0,0.780,0.7898463142039759,0.7499643903143386,3908390511462723.5,0.07387381178084278,0.13481139667218825
0,0.760,0.723773530500843,0.6840251003031118,3473348299166860.5,0.08841812312178739,0.18680638688161452
0,0.740,0.713962137764422,0.6723655915539982,3324297666542180.0,0.09919259916762448,0.1859520337248191
0,0.720,0.7794210088534442,0.7332405735185473,3527294243879270.5,0.10782871452558912,0.11168635691603337
0,0.700,0.856274163185405,0.8039204838041071,3759878745859063.5,0.12043967559072621,0.02210717893812095
0,0.680,0.8352906977975194,0.7783807125327129,3536418741858395.5,0.138238849613815,0.025531782334605783
0,0.660,0.7188303792009787,0.6618419724635853,2918508388827814.0,0.1460575655442722,0.13449158429124117
0,0.640,0.6670696601855228,0.6064447602878067,2593187543926956.5,0.1575583316577345,0.17490411845085693
0,0.620,0.7802730395725908,0.7099879148493953,2941069928602357.0,0.1784446475304831,0.040759141572323646
0,0.600,0.8158275498220797,0.7552598188562206,3027682532284043.0,0.14628679392456653,0.037281226169636326
0,0.580,0.7918924395017529,0.7430465462286058,2879431280166287.0,0.10733356539689072,0.10012744368850915
0,0.560,0.895727740662662,0.8475794056212133,3171254726629993.5,0.08695620002523569,0.01650582208008724
0,0.540,0.899523307708533,0.8509658654614823,3070213693211667.5,0.03476070107923539,0.06324181501020945
0,0.520,0.9443724980932112,0.8799107700324423,3057065063304515.5,0.006535632382662198,0.04261952307717004
0,0.500,0.8835699036184466,0.7978038527613546,2665194070622980.0,0.009530519543580347,0.10116278782237047
0,0.480,0.7083157883242776,0.6219769990232403,1994703119016169.2,0.04283435235469908,0.24647716919755652
0,0.460,0.8344591529122015,0.7252010744464715,2228840421338652.8,0.1464676220331285,0.018340510037509847
0,0.440,0.7549644363892314,0.659618021740736,1939134325078144.8,0.13956761320660518,0.1051200069945609
0,0.420,0.7236924627002743,0.6112572357915053,1715283888448644.5,0.1342003228946594,0.1416801046452708
0,0.400,0.8622641394040363,0.6882984212656255,1839498633481818.5,0.12376813133373009,0.012975486098424058
0,0.380,0.7312824606725693,0.5163502375416661,1310963748658499.8,0.12946096473996607,0.13917392144761537
0,0.360,0.803819467525057,0.4707847277974238,1132367957011393.2,0.17381974105705003,0.023538871947236847
0,0.340,0.7471899544311824,0.3953670960047445,898136082840402.1,0.16960293801521806,0.0846468710934991
0,0.320,0.8132715420165075,0.3754029013908137,802620610802785.1,0.15155441285006324,0.03687460129295834
0,0.300,0.7821134520115882,0.2334349920026581,467896629785398.06,0.07174821429549944,0.14836802872509602
1,1.200,0.3104163533874803,0.23737919992427153,1902919700895653.8,0.12911327832087077,0.5607475599397674
1,1.180,0.2975610601963318,0.2255299419808628,1777799460565964.5,0.1252114199157353,0.5775011554730047
1,1.160,0.2932502223312655,0.2201988316402032,1706355647322185.8,0.12483371605915507,0.5821911170529086
1,1.140,0.2981984371358496,0.22175755073046016,1688806229146794.0,0.1284040844360043,0.5736797739196097
1,1.120,0.3135636894532851,0.23087760092276952,1727413773979268.0,0.13655316219982394,0.5501792426528801
1,1.100,0.3408897358439417,0.24847789856123867,1825900069790561.5,0.1501000477841916,0.5093270088908134
