wl,k
0.300,1.9634E-01
0.305,1.9345E-01
0.310,1.9401E-01
0.315,1.9875E-01
0.320,2.0771E-01
0.325,2.1992E-01
0.330,2.3328E-01
0.335,2.4512E-01
0.340,2.5284E-01
0.345,2.5473E-01
0.350,2.5023E-01
0.355,2.3991E-01
0.360,2.2516E-01
0.365,2.0768E-01
0.370,1.8918E-01
0.375,1.7108E-01
0.380,1.5440E-01
0.385,1.3971E-01
0.390,1.2725E-01
0.395,1.1698E-01
0.400,1.0866E-01
0.405,1.0200E-01
0.410,9.6667E-02
0.415,9.2362E-02
0.420,8.8828E-02
0.425,8.5860E-02
0.430,8.3303E-02
0.435,8.1043E-02
0.440,7.8999E-02
0.445,7.7117E-02
0.450,7.5357E-02
0.455,7.3695E-02
0.460,7.2114E-02
0.465,7.0603E-02
0.470,6.9153E-02
0.475,6.7759E-02
0.480,6.6416E-02
0.485,6.5123E-02
0.490,6.3875E-02
0.495,6.2671E-02
0.500,6.1508E-02
0.505,6.0384E-02
0.510,5.9299E-02
0.515,5.8250E-02
0.520,5.7235E-02
0.525,5.6254E-02
0.530,5.5304E-02
0.535,5.4385E-02
0.540,5.3495E-02
0.545,5.2632E-02
0.550,5.1797E-02
0.555,5.0988E-02
0.560,5.0203E-02
0.565,4.9442E-02
0.570,4.8704E-02
0.575,4.7987E-02
0.580,4.7292E-02
0.585,4.6617E-02
0.590,4.5961E-02
0.595,4.5324E-02
0.600,4.4705E-02
0.605,4.4104E-02
0.610,4.3519E-02
0.615,4.2950E-02
0.620,4.2397E-02
0.625,4.1858E-02
0.630,4.1334E-02
0.635,4.0824E-02
0.640,4.0327E-02
0.645,3.9843E-02
0.650,3.9372E-02
0.655,3.8913E-02
0.660,3.8465E-02
0.665,3.8029E-02
0.670,3.7603E-02
0.675,3.7188E-02
0.680,3.6783E-02
0.685,3.6388E-02
0.690,3.6002E-02
0.695,3.5626E-02
0.700,3.5259E-02
0.705,3.4900E-02
0.710,3.4549E-02
0.715,3.4207E-02
0.720,3.3872E-02
0.725,3.3545E-02
0.730,3.3226E-02
0.735,3.2913E-02
0.740,3.2608E-02
0.745,3.2309E-02
0.750,3.2017E-02
0.755,3.1731E-02
0.760,3.1451E-02
0.765,3.1177E-02
0.770,3.0909E-02
0.775,3.0647E-02
0.780,3.0390E-02
0.785,3.0139E-02
0.790,2.9893E-02
0.795,2.9651E-02
0.800,2.9415E-02
0.805,2.9183E-02
0.810,2.8956E-02
0.815,2.8734E-02
0.820,2.8516E-02
0.825,2.8302E-02
0.830,2.8093E-02
0.835,2.7887E-02
0.840,2.7685E-02
0.845,2.7488E-02
0.850,2.7294E-02
0.855,2.7104E-02
0.860,2.6917E-02
0.865,2.6734E-02
0.870,2.6554E-02
0.875,2.6377E-02
0.880,2.6204E-02
0.885,2.6034E-02
0.890,2.5867E-02
0.895,2.5703E-02
0.900,2.5542E-02
0.905,2.5383E-02
0.910,2.5228E-02
0.915,2.5075E-02
0.920,2.4925E-02
0.925,2.4778E-02
0.930,2.4633E-02
0.935,2.4491E-02
0.940,2.4351E-02
0.945,2.4213E-02
0.950,2.4078E-02
0.955,2.3945E-02
0.960,2.3814E-02
0.965,2.3686E-02
0.970,2.3559E-02
0.975,2.3435E-02
0.980,2.3313E-02
0.985,2.3193E-02
0.990,2.3074E-02
0.995,2.2958E-02
1.000,2.2843E-02
1.005,2.2731E-02
1.010,2.2620E-02
1.015,2.2511E-02
1.020,2.2403E-02
1.025,2.2298E-02
1.030,2.2194E-02
1.035,2.2091E-02
1.040,2.1991E-02
1.045,2.1891E-02
1.050,2.1794E-02
1.055,2.1697E-02
1.060,2.1603E-02
1.065,2.1509E-02
1.070,2.1418E-02
1.075,2.1327E-02
1.080,2.1238E-02
1.085,2.1150E-02
1.090,2.1064E-02
1.095,2.0979E-02
1.100,2.0895E-02
1.105,2.0812E-02
1.110,2.0731E-02
1.115,2.0650E-02
1.120,2.0571E-02
1.125,2.0493E-02
1.130,2.0417E-02
1.135,2.0341E-02
1.140,2.0267E-02
1.145,2.0193E-02
1.150,2.0121E-02
1.155,2.0049E-02
1.160,1.9979E-02
1.165,1.9910E-02
1.170,1.9841E-02
1.175,1.9774E-02
1.180,1.9707E-02
1.185,1.9642E-02
1.190,1.9577E-02
1.195,1.9514E-02
1.200,1.9451E-02
1.205,1.9389E-02
1.210,1.9328E-02
1.215,1.9268E-02
1.220,1.9208E-02
1.225,1.9150E-02
1.230,1.9092E-02
1.235,1.9035E-02
1.240,1.8979E-02
1.245,1.8924E-02
1.250,1.8869E-02
1.255,1.8815E-02
1.260,1.8762E-02
1.265,1.8709E-02
1.270,1.8658E-02
1.275,1.8607E-02
1.280,1.8556E-02
1.285,1.8507E-02
1.290,1.8458E-02
1.295,1.8409E-02
1.300,1.8362E-02
1.305,1.8315E-02
1.310,1.8268E-02
1.315,1.8223E-02
1.320,1.8177E-02
1.325,1.8133E-02
1.330,1.8089E-02
1.335,1.8046E-02
1.340,1.8003E-02
1.345,1.7961E-02
1.350,1.7919E-02
1.355,1.7878E-02
1.360,1.7837E-02
1.365,1.7797E-02
1.370,1.7758E-02
1.375,1.7719E-02
1.380,1.7680E-02
1.385,1.7642E-02
1.390,1.7605E-02
1.395,1.7568E-02
1.400,1.7531E-02
1.405,1.7495E-02
1.410,1.7460E-02
1.415,1.7425E-02
1.420,1.7390E-02
1.425,1.7356E-02
1.430,1.7323E-02
1.435,1.7289E-02
1.440,1.7257E-02
1.445,1.7224E-02
1.450,1.7192E-02
1.455,1.7161E-02
1.460,1.7130E-02
1.465,1.7099E-02
1.470,1.7069E-02
1.475,1.7039E-02
1.480,1.7009E-02
1.485,1.6980E-02
1.490,1.6952E-02
1.495,1.6923E-02
1.500,1.6895E-02
1.505,1.6868E-02
1.510,1.6841E-02
1.515,1.6814E-02
1.520,1.6787E-02
1.525,1.6761E-02
1.530,1.6735E-02
1.535,1.6710E-02
1.540,1.6685E-02
1.545,1.6660E-02
1.550,1.6635E-02
1.555,1.6611E-02
1.560,1.6588E-02
1.565,1.6564E-02
1.570,1.6541E-02
1.575,1.6518E-02
1.580,1.6496E-02
1.585,1.6473E-02
1.590,1.6452E-02
1.595,1.6430E-02
1.600,1.6409E-02
1.605,1.6388E-02
1.610,1.6367E-02
1.615,1.6346E-02
1.620,1.6326E-02
1.625,1.6306E-02
1.630,1.6287E-02
1.635,1.6267E-02
1.640,1.6248E-02
1.645,1.6229E-02
1.650,1.6211E-02
1.655,1.6193E-02
1.660,1.6175E-02
1.665,1.6157E-02
1.670,1.6139E-02
1.675,1.6122E-02
1.680,1.6105E-02
1.685,1.6088E-02
1.690,1.6072E-02
1.695,1.6055E-02
1.700,1.6039E-02
1.705,1.6024E-02
1.710,1.6008E-02
1.715,1.5993E-02
1.720,1.5978E-02
1.725,1.5963E-02
1.730,1.5948E-02
1.735,1.5933E-02
1.740,1.5919E-02
1.745,1.5905E-02
1.750,1.5891E-02
1.755,1.5878E-02
1.760,1.5864E-02
1.765,1.5851E-02
1.770,1.5838E-02
1.775,1.5825E-02
1.780,1.5813E-02
1.785,1.5800E-02
1.790,1.5788E-02
1.795,1.5776E-02
1.800,1.5764E-02
1.805,1.5753E-02
1.810,1.5741E-02
1.815,1.5730E-02
1.820,1.5719E-02
1.825,1.5708E-02
1.830,1.5697E-02
1.835,1.5687E-02
1.840,1.5677E-02
1.845,1.5666E-02
1.850,1.5656E-02
1.855,1.5647E-02
1.860,1.5637E-02
1.865,1.5628E-02
1.870,1.5618E-02
1.875,1.5609E-02
1.880,1.5600E-02
1.885,1.5591E-02
1.890,1.5583E-02
1.895,1.5574E-02
1.900,1.5566E-02
1.905,1.5558E-02
1.910,1.5550E-02
1.915,1.5542E-02
1.920,1.5534E-02
1.925,1.5527E-02
1.930,1.5519E-02
1.935,1.5512E-02
1.940,1.5505E-02
1.945,1.5498E-02
1.950,1.5491E-02
1.955,1.5484E-02
1.960,1.5478E-02
1.965,1.5471E-02
1.970,1.5465E-02
1.975,1.5459E-02
1.980,1.5453E-02
1.985,1.5447E-02
1.990,1.5441E-02
1.995,1.5436E-02
2.000,1.5430E-02
2.005,1.5425E-02
2.010,1.5420E-02
2.015,1.5415E-02
2.020,1.5410E-02
2.025,1.5405E-02
2.030,1.5401E-02
2.035,1.5396E-02
2.040,1.5392E-02
2.045,1.5387E-02
2.050,1.5383E-02
2.055,1.5379E-02
2.060,1.5375E-02
2.065,1.5371E-02
2.070,1.5368E-02
2.075,1.5364E-02
2.080,1.5361E-02
2.085,1.5357E-02
2.090,1.5354E-02
2.095,1.5351E-02
2.100,1.5348E-02
2.105,1.5345E-02
2.110,1.5342E-02
2.115,1.5339E-02
2.120,1.5337E-02
2.125,1.5334E-02
2.130,1.5332E-02
2.135,1.5330E-02
2.140,1.5328E-02
2.145,1.5325E-02
2.150,1.5324E-02
2.155,1.5322E-02
2.160,1.5320E-02
2.165,1.5318E-02
2.170,1.5317E-02
2.175,1.5315E-02
2.180,1.5314E-02
2.185,1.5313E-02
2.190,1.5312E-02
2.195,1.5310E-02
2.200,1.5310E-02
2.205,1.5309E-02
2.210,1.5308E-02
2.215,1.5307E-02
2.220,1.5307E-02
2.225,1.5306E-02
2.230,1.5306E-02
2.235,1.5305E-02
2.240,1.5305E-02
2.245,1.5305E-02
2.250,1.5305E-02
2.255,1.5305E-02
2.260,1.5305E-02
2.265,1.5305E-02
2.270,1.5306E-02
2.275,1.5306E-02
2.280,1.5306E-02
2.285,1.5307E-02
2.290,1.5308E-02
2.295,1.5308E-02
2.300,1.5309E-02
2.305,1.5310E-02
2.310,1.5311E-02
2.315,1.5312E-02
2.320,1.5313E-02
2.325,1.5314E-02
2.330,1.5316E-02
2.335,1.5317E-02
2.340,1.5318E-02
2.345,1.5320E-02
2.350,1.5322E-02
2.355,1.5323E-02
2.360,1.5325E-02
2.365,1.5327E-02
2.370,1.5329E-02
2.375,1.5331E-02
2.380,1.5333E-02
2.385,1.5335E-02
2.390,1.5337E-02
2.395,1.5339E-02
2.400,1.5341E-02
2.405,1.5344E-02
2.410,1.5346E-02
2.415,1.5349E-02
2.420,1.5351E-02
2.425,1.5354E-02
2.430,1.5357E-02
2.435,1.5360E-02
2.440,1.5362E-02
2.445,1.5365E-02
2.450,1.5368E-02
2.455,1.5371E-02
