wl,n
0.300,1.8403E+00
0.305,1.8293E+00
0.310,1.8179E+00
0.315,1.8074E+00
0.320,1.7997E+00
0.325,1.7968E+00
0.330,1.8001E+00
0.335,1.8099E+00
0.340,1.8250E+00
0.345,1.8434E+00
0.350,1.8625E+00
0.355,1.8798E+00
0.360,1.8938E+00
0.365,1.9034E+00
0.370,1.9086E+00
0.375,1.9096E+00
0.380,1.9074E+00
0.385,1.9027E+00
0.390,1.8964E+00
0.395,1.8894E+00
0.400,1.8821E+00
0.405,1.8749E+00
0.410,1.8681E+00
0.415,1.8619E+00
0.420,1.8562E+00
0.425,1.8510E+00
0.430,1.8463E+00
0.435,1.8421E+00
0.440,1.8383E+00
0.445,1.8347E+00
0.450,1.8315E+00
0.455,1.8285E+00
0.460,1.8257E+00
0.465,1.8231E+00
0.470,1.8206E+00
0.475,1.8182E+00
0.480,1.8160E+00
0.485,1.8139E+00
0.490,1.8119E+00
0.495,1.8099E+00
0.500,1.8081E+00
0.505,1.8063E+00
0.510,1.8046E+00
0.515,1.8029E+00
0.520,1.8013E+00
0.525,1.7998E+00
0.530,1.7983E+00
0.535,1.7969E+00
0.540,1.7955E+00
0.545,1.7942E+00
0.550,1.7929E+00
0.555,1.7916E+00
0.560,1.7904E+00
0.565,1.7892E+00
0.570,1.7881E+00
0.575,1.7870E+00
0.580,1.7859E+00
0.585,1.7848E+00
0.590,1.7838E+00
0.595,1.7828E+00
0.600,1.7818E+00
0.605,1.7809E+00
0.610,1.7800E+00
0.615,1.7791E+00
0.620,1.7782E+00
0.625,1.7773E+00
0.630,1.7765E+00
0.635,1.7757E+00
0.640,1.7749E+00
0.645,1.7741E+00
0.650,1.7734E+00
0.655,1.7727E+00
0.660,1.7719E+00
0.665,1.7712E+00
0.670,1.7706E+00
0.675,1.7699E+00
0.680,1.7692E+00
0.685,1.7686E+00
0.690,1.7680E+00
0.695,1.7674E+00
0.700,1.7668E+00
0.705,1.7662E+00
0.710,1.7656E+00
0.715,1.7651E+00
0.720,1.7645E+00
0.725,1.7640E+00
0.730,1.7635E+00
0.735,1.7629E+00
0.740,1.7624E+00
0.745,1.7619E+00
0.750,1.7615E+00
0.755,1.7610E+00
0.760,1.7605E+00
0.765,1.7601E+00
0.770,1.7596E+00
0.775,1.7592E+00
0.780,1.7588E+00
0.785,1.7583E+00
0.790,1.7579E+00
0.795,1.7575E+00
0.800,1.7571E+00
0.805,1.7567E+00
