wl,n
0.3019,1.5806
0.3062,1.5773
0.3113,1.5746
0.3189,1.5711
0.3274,1.5675
0.3367,1.5636
0.3461,1.5602
0.3563,1.5563
0.3665,1.5533
0.3775,1.5499
0.3868,1.5475
0.4021,1.5433
0.4149,1.5403
0.4276,1.5373
0.4395,1.5349
0.4522,1.5323
0.4641,1.5300
0.4760,1.5276
0.4896,1.5253
0.5066,1.5223
0.5261,1.5191
0.5465,1.5161
0.5652,1.5129
0.5856,1.5101
0.6085,1.5067
0.6399,1.5022
0.6586,1.4994
0.6790,1.4964
0.7011,1.4934
0.7240,1.4902
0.7461,1.4872
0.7741,1.4836
0.8038,1.4797
0.8276,1.4767
0.8522,1.4742
0.8786,1.4714
0.9032,1.4690
0.9278,1.4671
0.9490,1.4665
0.9703,1.4659
0.9915,1.4661
1.0102,1.4663
1.0229,1.4672
1.0374,1.4680
1.0544,1.4695
1.0671,1.4713
1.0798,1.4728
1.0968,1.4760
