Tilt Angle (degrees),Thickness (nm),Power (kWh/m²/a),Grad Tilt (kWh/deg),Grad Thickness (kWh/nm)
0.0,100.0,195.15887451171875,0.7278870344161987,-0.7828320264816284
0.0,120.0,189.5735321044922,0.7002214193344116,0.035991981625556946
0.0,140.0,192.44744873046875,0.6991698145866394,0.17137695848941803
0.0,160.0,194.76187133789062,0.6974743008613586,0.1134290099143982
0.0,180.0,198.392333984375,0.6995586156845093,0.20265299081802368
0.0,200.0,199.98159790039062,0.6978563070297241,-0.84624183177948
0.0,220.0,200.9561767578125,0.6939248442649841,-0.05203399062156677
0.0,240.0,199.17828369140625,0.67572021484375,-0.15579265356063843
0.0,260.0,195.9027099609375,0.6510924100875854,-0.25932514667510986
0.0,280.0,190.2694549560547,0.6234172582626343,-0.3018091320991516
0.0,300.0,184.28317260742188,0.5969437956809998,-0.1279895007610321
10.0,100.0,199.3063507080078,0.23101484775543213,-0.7970538139343262
10.0,120.0,193.6763458251953,0.21923039853572845,0.041796594858169556
10.0,140.0,196.7178955078125,0.2154204547405243,0.18112191557884216
10.0,160.0,199.21820068359375,0.21152342855930328,0.12423568964004517
10.0,180.0,203.1217041015625,0.20997431874275208,0.21873420476913452
10.0,200.0,204.98023986816406,0.20722733438014984,-0.8483216762542725
10.0,220.0,206.16615295410156,0.20570535957813263,-0.046897172927856445
10.0,240.0,204.3773651123047,0.1963197886943817,-0.16112834215164185
10.0,260.0,200.9730224609375,0.18662351369857788,-0.26878559589385986
10.0,280.0,195.15579223632812,0.17560561001300812,-0.3120390772819519
10.0,300.0,189.0157012939453,0.16841258108615875,-0.13128212094306946
20.0,100.0,198.95916748046875,-0.3057936728000641,-0.7945102453231812
20.0,120.0,193.34239196777344,-0.3008110523223877,0.04213142395019531
20.0,140.0,196.4067840576172,-0.3087300956249237,0.18233147263526917
20.0,160.0,198.94119262695312,-0.3163418769836426,0.12547798454761505
20.0,180.0,202.9173126220703,-0.324222594499588,0.2243960201740265
20.0,200.0,204.85757446289062,-0.32939308881759644,-0.8457142114639282
20.0,220.0,206.11648559570312,-0.3314627408981323,-0.04393389821052551
20.0,240.0,204.35411071777344,-0.3275473415851593,-0.16130244731903076
20.0,260.0,200.92733764648438,-0.32177025079727173,-0.2709085941314697
20.0,280.0,195.0846405029297,-0.3120005428791046,-0.31276243925094604
20.0,300.0,188.9412384033203,-0.301281601190567,-0.12961554527282715
30.0,100.0,194.2638702392578,-0.8038866519927979,-0.7773824334144592
30.0,120.0,188.71131896972656,-0.7815800905227661,0.036708369851112366
30.0,140.0,191.61474609375,-0.7931690216064453,0.1731138527393341
30.0,160.0,193.9906005859375,-0.8026505708694458,0.11811870336532593
30.0,180.0,197.7823944091797,-0.8161139488220215,0.21365585923194885
30.0,200.0,199.56553649902344,-0.8245142698287964,-0.8251008987426758
30.0,220.0,200.72711181640625,-0.8268197774887085,-0.04469248652458191
30.0,240.0,199.0221405029297,-0.8116229772567749,-0.15580350160598755
30.0,260.0,195.72767639160156,-0.7889664173126221,-0.2621980905532837
30.0,280.0,190.0600128173828,-0.7606486678123474,-0.30370795726776123
30.0,300.0,184.0897216796875,-0.7337453961372375,-0.12659302353858948
40.0,100.0,185.34835815429688,-1.3063409328460693,-0.746107816696167
40.0,120.0,179.93136596679688,-1.2657952308654785,0.027518749237060547
40.0,140.0,182.5238494873047,-1.2814669609069824,0.15576831996440887
40.0,160.0,184.59225463867188,-1.2919087409973145,0.10177578032016754
40.0,180.0,187.9844207763672,-1.3118531703948975,0.1894128918647766
40.0,200.0,189.3992462158203,-1.3217284679412842,-0.802043080329895
40.0,220.0,190.3235626220703,-1.3221874237060547,-0.04748189449310303
40.0,240.0,188.6707305908203,-1.2989602088928223,-0.1455221176147461
40.0,260.0,185.62452697753906,-1.2624989748001099,-0.24414768815040588
40.0,280.0,180.30487060546875,-1.2147068977355957,-0.28510910272598267
40.0,300.0,174.6620330810547,-1.1698760986328125,-0.12047290802001953
50.0,100.0,171.9768524169922,-1.4457365274429321,-0.6963651180267334
50.0,120.0,166.83543395996094,-1.3946971893310547,0.01728515326976776
50.0,140.0,169.05577087402344,-1.4021233320236206,0.13485316932201385
50.0,160.0,170.75746154785156,-1.405362606048584,0.08155736327171326
50.0,180.0,173.59295654296875,-1.4196827411651611,0.15521174669265747
50.0,200.0,174.546142578125,-1.4190280437469482,-0.7610387802124023
50.0,220.0,175.20230102539062,-1.412158489227295,-0.05015382170677185
50.0,240.0,173.6188507080078,-1.384163737297058,-0.13215592503547668
50.0,260.0,170.89404296875,-1.340583324432373,-0.2213674634695053
50.0,280.0,166.05787658691406,-1.288393497467041,-0.2601773142814636
50.0,300.0,160.88031005859375,-1.236182689666748,-0.1111009418964386
60.0,100.0,154.10740661621094,-2.068387985229492,-0.6273967623710632
60.0,120.0,149.40524291992188,-1.998260736465454,0.009059667587280273
60.0,140.0,151.2530975341797,-2.015014886856079,0.11315777897834778
60.0,160.0,152.54029846191406,-2.031038761138916,0.059129297733306885
60.0,180.0,154.7782745361328,-2.0530736446380615,0.11433295905590057
60.0,200.0,155.2829132080078,-2.0476858615875244,-0.695196807384491
60.0,220.0,155.68994140625,-2.040290117263794,-0.05044063925743103
60.0,240.0,154.23321533203125,-2.0046207904815674,-0.11633315682411194
