Tilt Angle (degrees),Thickness (nm),Power (kWh/m²/a),Grad Tilt (kWh/deg),Grad Thickness (kWh/nm)
0.0,100.0,138.16677856445312,0.8916324377059937,-0.5616071224212646
0.0,120.0,134.06430053710938,0.8566831350326538,0.01659110188484192
0.0,140.0,135.84432983398438,0.857206404209137,0.10667283833026886
0.0,160.0,137.15585327148438,0.8513124585151672,0.06099136173725128
0.0,180.0,139.42706298828125,0.8468177318572998,0.13416647911071777
0.0,200.0,140.2335205078125,0.8384540677070618,-0.6208508014678955
0.0,220.0,140.75779724121094,0.8301746249198914,-0.04061213135719299
0.0,240.0,139.4772491455078,0.8058352470397949,-0.10609149932861328
0.0,260.0,137.29270935058594,0.7772154808044434,-0.17499667406082153
0.0,280.0,133.4406280517578,0.742466151714325,-0.21068349480628967
0.0,300.0,129.25331115722656,0.7146930694580078,-0.0893700122833252
10.0,100.0,144.964111328125,0.5651461482048035,-0.5859538912773132
10.0,120.0,140.71604919433594,0.5419859290122986,0.02018900215625763
10.0,140.0,142.6775665283203,0.5391959547996521,0.11683501303195953
10.0,160.0,144.17454528808594,0.5335782766342163,0.07182075083255768
10.0,180.0,146.71450805664062,0.5286107063293457,0.15165555477142334
10.0,200.0,147.81488037109375,0.5228704810142517,-0.6360630989074707
10.0,220.0,148.50668334960938,0.5150367617607117,-0.03974160552024841
10.0,240.0,147.16587829589844,0.4961462914943695,-0.11484111845493317
10.0,260.0,144.78968811035156,0.47675567865371704,-0.18835397064685822
10.0,280.0,140.66270446777344,0.45518767833709717,-0.22319252789020538
10.0,300.0,136.25616455078125,0.4380970299243927,-0.09336167573928833
20.0,100.0,148.2723388671875,0.18299642205238342,-0.5957164764404297
20.0,120.0,144.00155639648438,0.17181645333766937,0.02555149793624878
20.0,140.0,146.1115264892578,0.16498470306396484,0.12506677210330963
20.0,160.0,147.76808166503906,0.1574537456035614,0.08132362365722656
20.0,180.0,150.5166778564453,0.14998924732208252,0.1643393188714981
20.0,200.0,151.86474609375,0.14493489265441895,-0.6403313875198364
20.0,220.0,152.68618774414062,0.13886582851409912,-0.03839650750160217
20.0,240.0,151.30873107910156,0.12820765376091003,-0.11948274075984955
20.0,260.0,148.8218994140625,0.11951449513435364,-0.19622702896595
20.0,280.0,144.5458221435547,0.11111688613891602,-0.2299107015132904
20.0,300.0,140.02345275878906,0.10661348700523376,-0.09536263346672058
30.0,100.0,148.1812744140625,-0.18445514142513275,-0.5929481983184814
30.0,120.0,143.95045471191406,-0.18427057564258575,0.027566254138946533
30.0,140.0,146.12478637695312,-0.1950017511844635,0.1282460242509842
30.0,160.0,147.86082458496094,-0.20479324460029602,0.08648063242435455
30.0,180.0,150.71893310546875,-0.2153112292289734,0.17107434570789337
30.0,200.0,152.2313690185547,-0.22042720019817352,-0.6286659240722656
30.0,220.0,153.14553833007812,-0.22308866679668427,-0.035825639963150024
30.0,240.0,151.78981018066406,-0.22408847510814667,-0.12035559117794037
30.0,260.0,149.28091430664062,-0.22215424478054047,-0.1983937919139862
30.0,280.0,144.9699249267578,-0.21776294708251953,-0.23122847080230713
30.0,300.0,140.4435272216797,-0.21070164442062378,-0.09474232792854309
